id,flight_id,pour_no,whiskey_id,rating,profiness,viscocity,complexity,finish_duration,created_at,updated_at,deleted_at
34,21,1,2047,"3.90",,,,,2025-02-19 03:03:00,2025-02-19 03:03:00,
35,21,2,2771,"2.60","4.80","4.20",,"5.00",2025-02-19 03:03:00,2025-02-19 03:03:00,
83,50,2,2855,"1.20",,,,,2025-02-26 01:57:04,2025-02-26 01:57:04,
85,50,4,2616,"3.60",,,,,2025-02-26 01:57:04,2025-02-26 01:57:04,
87,51,2,2704,"7.00",,,,,2025-02-27 05:45:35,2025-02-27 05:45:35,
88,51,3,2855,"6.10",,,,,2025-02-27 05:45:35,2025-02-27 05:45:35,
89,51,4,2854,"3.60",,,,,2025-02-27 05:45:35,2025-02-27 05:45:35,
90,52,1,1250,"5.10",,,,,2025-02-27 05:50:04,2025-02-27 05:50:04,
136,76,1,2002,"6.80","2.60","6.00","6.00","5.20",2025-02-28 13:40:38,2025-02-28 13:40:38,
137,77,1,1487,"7.00","6.20","6.80","5.20","6.90",2025-02-28 14:01:11,2025-02-28 14:01:11,
138,78,1,1586,"9.10","2.70","9.00","9.00","7.60",2025-02-28 14:24:53,2025-02-28 14:24:53,
139,79,1,1299,"8.10",,,,,2025-02-28 15:21:31,2025-02-28 15:21:31,
140,80,1,2228,"7.70","5.60","4.80","6.20","7.80",2025-02-28 15:59:43,2025-02-28 15:59:43,
141,81,1,836,"7.20",,,,,2025-02-28 18:07:42,2025-02-28 18:07:42,
142,82,1,2634,"7.50",,,,,2025-02-28 18:33:09,2025-02-28 18:33:09,
143,83,1,2235,"6.80",,,,,2025-02-28 18:46:23,2025-02-28 18:46:23,
144,84,1,2565,"8.10",,,,,2025-02-28 19:24:40,2025-02-28 19:24:40,
145,85,1,1688,"6.30",,,,,2025-03-02 14:54:58,2025-03-02 14:54:58,
146,85,2,1634,"8.20",,,,,2025-03-02 14:54:58,2025-03-02 14:54:58,
147,85,3,1586,"7.30",,,,,2025-03-02 14:54:58,2025-03-02 14:54:58,
148,86,1,2885,"7.60",,,,,2025-03-02 16:30:55,2025-03-02 16:30:55,
150,88,1,2886,"6.40",,,,,2025-03-05 19:14:45,2025-03-05 19:14:45,
151,89,1,1312,"5.30",,,,,2025-03-05 19:54:43,2025-03-05 19:54:43,
152,90,1,456,"6.00",,,,,2025-03-06 18:42:45,2025-03-06 18:42:45,
153,91,1,2634,"6.70","6.00","6.10","6.60","6.50",2025-03-07 14:26:03,2025-03-07 14:26:03,
154,92,1,1589,"10.00","6.60","10.00","10.00","8.50",2025-03-07 14:54:19,2025-03-07 14:54:19,
155,93,1,836,"7.70","6.30","7.00","7.50","7.50",2025-03-07 15:17:08,2025-03-07 15:17:08,
156,94,1,453,"8.20","6.60","8.00","7.70","7.10",2025-03-07 15:47:57,2025-03-07 15:47:57,
157,95,1,1322,"7.60","4.10","6.10","7.30","9.10",2025-03-07 16:10:35,2025-03-07 16:10:35,
158,96,1,1880,"6.50","4.30","2.40","6.10","5.50",2025-03-10 16:58:21,2025-03-10 16:58:21,
160,98,1,1693,"7.80","3.10","6.00","7.70","8.20",2025-03-13 21:55:19,2025-03-13 21:55:19,
161,99,1,868,"7.80","4.00","5.00","6.50","6.90",2025-03-13 22:15:06,2025-03-13 22:15:06,
162,100,1,457,"8.10","6.40","8.10","8.50","8.70",2025-03-13 23:03:14,2025-03-13 23:03:14,
163,101,1,10,"6.00",,,,,2025-03-14 01:37:05,2025-03-14 01:37:05,
164,102,1,2002,"6.50","3.00","7.00","5.90","6.40",2025-03-15 00:26:29,2025-03-15 00:26:29,
165,103,1,1580,"8.60","5.50","8.70","7.70","8.00",2025-03-15 01:16:07,2025-03-15 01:16:07,
178,115,1,2953,"4.00","3.00","3.00","3.00","2.00",2025-03-20 22:22:26,2025-03-20 22:22:26,
179,116,1,1883,"5.30","5.00","4.60","4.00","6.00",2025-03-20 23:38:04,2025-03-20 23:38:04,
180,117,1,2634,"7.20","7.10","5.50","6.10","6.50",2025-03-21 00:21:39,2025-03-21 00:21:39,
181,118,1,2158,"8.00","3.50","7.50","6.50","7.00",2025-03-21 01:30:40,2025-03-21 01:30:40,
182,119,1,2924,"6.00",,,,,2025-03-21 11:05:06,2025-03-21 11:05:06,
186,121,1,2568,"7.00","5.00","6.20","6.60","6.50",2025-03-21 21:59:49,2025-03-21 21:59:49,
187,122,1,1487,"7.20","7.00","6.00","7.00","7.00",2025-03-21 23:41:35,2025-03-21 23:41:35,
188,123,1,2886,"6.60","5.60","5.50","5.00","6.30",2025-03-22 00:01:27,2025-03-22 00:01:27,
189,124,1,1242,"7.80","6.00","7.00","8.00","8.00",2025-03-22 00:33:22,2025-03-22 00:33:22,
190,125,1,1688,"6.80",,,,,2025-03-22 01:36:17,2025-03-22 01:36:17,
191,126,1,2002,"6.20",,,,,2025-03-23 00:57:57,2025-03-23 00:57:57,
192,127,1,456,"6.80","4.00","5.00","5.50","6.50",2025-03-24 22:07:41,2025-03-24 22:07:41,
193,128,1,2568,"6.60","3.40","5.50","6.00","5.50",2025-03-24 22:52:58,2025-03-24 22:52:58,
194,129,1,2228,"8.20","3.00","6.00","7.50","7.80",2025-03-24 23:16:16,2025-03-24 23:16:16,
196,131,1,865,"7.20","7.50","8.40","6.80","7.50",2025-03-25 00:47:39,2025-03-25 00:47:39,
197,132,1,1488,"6.00",,,,,2025-03-26 21:30:25,2025-03-26 21:30:25,
198,133,1,2886,"6.50","4.50","5.00","6.00","6.00",2025-03-26 21:54:51,2025-03-26 21:54:51,
199,134,1,1135,"7.00","4.50","7.50","6.50","5.00",2025-03-26 22:27:33,2025-03-26 22:27:33,
200,135,1,2167,"7.80","8.00","7.50","9.00","7.50",2025-03-26 22:57:01,2025-03-26 22:57:01,
201,136,1,950,"7.80",,,,,2025-03-27 01:56:19,2025-03-27 01:56:19,
210,144,1,840,"6.90",,,,,2025-03-27 23:41:35,2025-03-27 23:41:35,
211,145,1,2316,"7.30","6.00","6.00","6.50","6.50",2025-03-28 00:18:39,2025-03-28 00:18:39,
212,146,1,2668,"5.80","5.00","6.90","4.10","4.50",2025-03-28 01:11:28,2025-03-28 01:11:28,
213,147,1,453,"8.20","6.00","7.00","7.50","6.50",2025-03-28 01:44:38,2025-03-28 01:44:38,
214,148,1,2960,"8.20","8.00","8.50","9.00","7.50",2025-03-28 01:53:07,2025-03-28 01:53:07,
215,149,1,1683,"9.20","5.00","7.00","9.00","9.00",2025-03-28 02:23:41,2025-03-28 02:23:41,
216,150,1,1313,"6.70","7.60","7.90","6.70","7.40",2025-03-28 03:43:17,2025-03-28 03:43:17,
217,151,1,164,"5.30","7.00","4.90","5.80","7.10",2025-03-28 22:57:53,2025-03-28 22:57:53,
218,152,1,2886,"6.40","3.50","5.00","5.00","5.00",2025-03-28 23:30:28,2025-03-28 23:30:28,
219,153,1,1487,"7.20","7.00","6.50","7.00","7.20",2025-03-28 23:53:59,2025-03-28 23:53:59,
220,154,1,1298,"7.90","6.00","6.50","7.50","7.50",2025-03-29 00:16:06,2025-03-29 00:16:06,
221,155,1,1298,"8.00","2.30","1.50","7.50","5.50",2025-03-29 00:32:38,2025-03-29 00:32:38,
222,156,1,1482,"6.40","7.00","5.00","6.00","6.00",2025-03-29 00:47:13,2025-03-29 00:47:13,
223,157,1,2000,"9.30","3.00","5.00","5.00","8.00",2025-03-29 02:50:54,2025-03-29 02:50:54,
224,158,1,548,"7.00","6.70","7.10","7.00","6.90",2025-03-29 03:26:08,2025-03-29 03:26:08,
225,159,1,1487,"7.00","8.00","6.80","6.90","7.50",2025-03-29 05:01:42,2025-03-29 05:01:42,
226,160,1,864,"6.90","8.20","6.40","7.10","6.60",2025-03-30 01:36:40,2025-03-30 01:36:40,
227,161,1,864,"6.70","7.00","6.30","6.30","6.30",2025-03-30 02:31:23,2025-03-30 02:31:23,
228,162,1,2631,"5.70","5.70","5.60","5.90","5.90",2025-03-30 04:12:13,2025-03-30 04:12:13,
229,163,1,836,"7.40","6.50","6.50","6.00","7.00",2025-03-30 22:49:03,2025-03-30 22:49:03,
230,164,1,1120,"7.90","6.50","6.00","6.50","7.70",2025-03-30 23:09:50,2025-03-30 23:09:50,
231,165,1,322,"7.00","7.80","6.50","7.20","6.90",2025-03-30 23:25:48,2025-03-30 23:25:48,
232,166,1,1384,"6.70","6.00","6.00","5.50","6.00",2025-03-30 23:42:18,2025-03-30 23:42:18,
233,167,1,1892,"5.50","6.00","5.50","5.50","7.00",2025-03-31 01:54:38,2025-03-31 01:54:38,
234,168,1,766,"5.90","4.50","6.00","6.10","6.30",2025-03-31 03:43:02,2025-03-31 03:43:02,
235,169,1,359,"8.00","6.20","6.90","7.90","8.10",2025-04-01 02:51:03,2025-04-01 02:51:03,
236,170,1,1562,"5.90","5.50","6.90","5.90","6.10",2025-04-02 02:52:19,2025-04-02 02:52:19,
237,171,1,2886,"6.00",,,,,2025-04-02 22:22:42,2025-04-02 22:22:42,
238,172,1,10,"6.70","7.00","6.50","7.00","7.00",2025-04-02 22:58:55,2025-04-02 22:58:55,
239,173,1,2565,"7.70","6.50","6.50","7.00","7.50",2025-04-02 23:30:45,2025-04-02 23:30:45,
240,174,1,1135,"7.40","7.30","8.00","7.00","7.00",2025-04-03 00:27:30,2025-04-03 00:27:30,
241,175,1,2228,"8.50","3.50","6.00","7.50","8.00",2025-04-03 00:53:28,2025-04-03 00:53:28,
242,176,1,940,"6.50","5.90","5.50","6.20","5.60",2025-04-03 02:17:01,2025-04-03 02:17:01,
246,180,1,2821,"9.30",,,,,2025-04-03 10:20:20,2025-04-03 10:20:20,
251,185,1,2924,"5.30",,,,,2025-04-03 11:08:41,2025-04-03 11:08:41,
260,193,1,2929,"3.40",,,,,2025-04-03 14:06:20,2025-04-03 14:06:20,
261,193,2,471,"4.40",,,,,2025-04-03 14:06:20,2025-04-03 14:06:20,
265,196,1,2928,"2.40",,,,,2025-04-03 15:09:57,2025-04-03 15:09:57,
267,198,1,2186,"7.20","5.50","6.40","6.90","7.10",2025-04-04 02:28:14,2025-04-04 02:28:14,
268,199,1,2323,"2.40",,,,,2025-04-04 07:38:18,2025-04-04 07:38:18,
271,202,1,2323,"3.40",,,,,2025-04-04 07:41:28,2025-04-04 07:41:28,
275,206,1,2928,"4.40",,,,,2025-04-04 10:34:29,2025-04-04 10:34:29,
279,210,1,2924,"7.70",,,,,2025-04-04 13:36:27,2025-04-04 13:36:27,
286,217,1,2929,"2.90",,,,,2025-04-04 14:03:48,2025-04-04 14:03:48,
288,219,1,2929,"5.30",,,,,2025-04-04 14:04:45,2025-04-04 14:04:45,
290,221,1,2928,"4.60",,,,,2025-04-04 14:07:25,2025-04-04 14:07:25,
292,223,1,2928,"4.60",,,,,2025-04-04 14:08:40,2025-04-04 14:08:40,
305,236,1,2888,"6.90","5.70","6.60","6.80","6.90",2025-04-05 03:12:14,2025-04-05 03:12:14,
306,237,1,840,"6.90","3.00","5.50","5.50","6.00",2025-04-05 20:19:25,2025-04-05 20:19:25,
307,238,1,1605,"7.10","6.50","6.00","7.00","7.80",2025-04-05 20:39:13,2025-04-05 20:39:13,
308,239,1,549,"6.80","4.00","4.50","7.00","7.00",2025-04-05 21:02:36,2025-04-05 21:02:36,
309,240,1,1580,"7.90","6.50","6.50","7.00","7.50",2025-04-05 21:33:56,2025-04-05 21:33:56,
310,241,1,481,"8.00","7.50","7.00","7.00","8.00",2025-04-05 21:53:21,2025-04-05 21:53:21,
311,242,1,1886,"5.80","6.00","4.50","5.50","7.60",2025-04-05 22:45:23,2025-04-05 22:45:23,
312,243,1,2138,"0.50","2.20","0.90","0.40","7.50",2025-04-06 02:20:53,2025-04-06 02:20:53,
313,244,1,1550,"7.00","7.40","6.80","7.10","6.70",2025-04-06 02:31:56,2025-04-06 02:31:56,
314,245,1,1892,"6.20","6.40","5.80","6.80","5.70",2025-04-06 02:45:14,2025-04-06 02:45:14,
315,246,1,532,"5.90","5.70","5.40","5.40","5.50",2025-04-06 03:44:53,2025-04-06 03:44:53,
316,247,1,2562,"7.80","4.50","5.00","6.00","7.00",2025-04-06 17:14:20,2025-04-06 17:14:20,
317,248,1,2562,"5.50","5.40","6.20","5.30","5.10",2025-04-06 17:14:50,2025-04-06 17:14:50,
318,249,1,1683,"9.00","5.00","5.00","8.00","8.50",2025-04-06 17:34:20,2025-04-06 17:34:20,
319,250,1,1683,"6.20","6.10","6.10","6.20","6.30",2025-04-06 17:35:02,2025-04-06 17:35:02,
320,251,1,1399,"7.10","7.50","6.50","6.50","6.00",2025-04-06 17:59:13,2025-04-06 17:59:13,
321,252,1,2165,"8.00","6.80","7.20","8.40","8.00",2025-04-06 17:59:42,2025-04-06 17:59:42,
322,253,1,2968,"8.00","10.00","6.80",,"10.00",2025-04-06 18:24:30,2025-04-06 18:24:30,
323,254,1,2290,"8.70","8.20","6.30","8.60","9.20",2025-04-06 18:38:53,2025-04-06 18:38:53,
324,255,1,2006,"7.20","5.90","4.10","7.50","6.90",2025-04-06 18:57:05,2025-04-06 18:57:05,
325,256,1,868,"7.90","5.50","6.50","7.00","6.50",2025-04-06 19:20:23,2025-04-06 19:20:23,
326,257,1,1314,"8.70","8.10","8.60","7.90","8.80",2025-04-06 19:47:45,2025-04-06 19:47:45,
327,258,1,2165,"8.30","5.00","8.00","8.00","8.50",2025-04-06 19:49:42,2025-04-06 19:49:42,
328,259,1,1483,"7.20","5.50","6.00","6.50","6.50",2025-04-06 20:28:02,2025-04-06 20:28:02,
329,260,1,558,"6.50","4.00","4.50","6.50","6.00",2025-04-06 20:57:48,2025-04-06 20:57:48,
330,261,1,558,"8.50","6.20","8.80","6.50","6.90",2025-04-06 21:13:37,2025-04-06 21:13:37,
331,262,1,863,"7.90","8.70","7.70","7.90","7.60",2025-04-07 01:34:11,2025-04-07 01:34:11,
333,264,1,2954,"3.90",,,,,2025-04-07 07:06:37,2025-04-07 07:06:37,
335,266,1,2836,"4.70",,,,,2025-04-07 07:16:31,2025-04-07 07:16:31,
337,268,1,2634,"7.20","5.50","6.20","6.60","6.60",2025-04-08 03:11:12,2025-04-08 03:11:12,
340,271,1,2323,"4.10",,,,,2025-04-08 09:33:57,2025-04-08 09:33:57,
342,273,1,2886,"4.00",,,,,2025-04-08 09:44:06,2025-04-08 09:44:06,
344,275,1,2928,"5.00",,,,,2025-04-08 09:56:35,2025-04-08 09:56:35,
345,276,1,2928,"5.00",,,,,2025-04-08 09:56:36,2025-04-08 09:56:36,
346,277,1,2836,"5.20","1.80","5.50","1.40","7.40",2025-04-08 09:59:25,2025-04-08 09:59:25,
347,277,2,2886,"2.90",,,,,2025-04-08 09:59:25,2025-04-08 09:59:25,
348,278,1,2836,"3.60",,,,,2025-04-08 11:27:21,2025-04-08 11:27:21,
349,279,1,2836,"3.00","10.00","5.00","6.20","3.30",2025-04-08 11:29:01,2025-04-08 11:29:01,
350,280,1,1977,"6.80","7.40","7.20","6.80","7.30",2025-04-09 01:15:26,2025-04-09 01:15:26,
353,283,1,2928,"4.20",,,,,2025-04-09 11:27:54,2025-04-09 11:27:54,
356,286,1,229,"6.90","5.50","6.20","6.70","6.50",2025-04-10 02:05:34,2025-04-10 02:05:34,
357,287,1,456,"6.20","5.00","5.50","5.50","6.50",2025-04-10 21:58:03,2025-04-10 21:58:03,
358,288,1,2235,"7.60","6.50","9.00","6.50","6.50",2025-04-10 22:10:09,2025-04-10 22:10:09,
359,289,1,1693,"8.40","7.00","6.50","7.50","7.00",2025-04-10 23:03:07,2025-04-10 23:03:07,
360,290,1,836,"7.30",,,,,2025-04-11 00:14:12,2025-04-11 00:14:12,
361,291,1,2565,"7.70",,,,,2025-04-11 00:32:54,2025-04-11 00:32:54,
362,292,1,1586,"9.20","6.50","9.00","8.00","7.60",2025-04-11 01:19:02,2025-04-11 01:19:02,
363,293,1,2323,"4.50",,,,,2025-04-11 05:51:36,2025-04-11 05:51:36,
365,295,1,2929,"3.50",,,,,2025-04-11 06:20:19,2025-04-11 06:20:19,
366,296,1,2783,"2.70",,,,,2025-04-11 06:23:03,2025-04-11 06:23:03,
367,296,2,2836,"3.90",,,,,2025-04-11 06:23:03,2025-04-11 06:23:03,
370,298,1,2954,"3.00",,,,,2025-04-11 07:03:22,2025-04-11 07:03:22,
371,298,2,2783,"4.10",,,,,2025-04-11 07:03:22,2025-04-11 07:03:22,
374,300,1,2783,"6.00",,,,,2025-04-11 07:26:28,2025-04-11 07:26:28,
379,303,1,2162,"6.90","7.00","6.00","6.20","7.00",2025-04-12 04:52:58,2025-04-12 04:52:58,
380,304,1,2002,"6.50",,,,,2025-04-12 22:39:11,2025-04-12 22:39:11,
381,305,1,1487,"7.30",,,,,2025-04-12 23:10:01,2025-04-12 23:10:01,
382,306,1,1183,"7.50",,,,,2025-04-13 01:00:27,2025-04-13 01:00:27,
383,307,1,865,"7.00","6.00","6.50","6.00","6.50",2025-04-13 01:24:43,2025-04-13 01:24:43,
384,308,1,854,"5.20","5.40","5.20","5.70","5.40",2025-04-13 01:42:50,2025-04-13 01:42:50,
385,308,2,1486,"4.90","5.90","5.20","5.00","5.20",2025-04-13 01:42:50,2025-04-13 01:42:50,
386,308,3,2631,"5.80","5.30","5.80","5.60","6.40",2025-04-13 01:42:50,2025-04-13 01:42:50,
387,308,4,545,"5.70","5.00","5.60","5.80","5.50",2025-04-13 01:42:50,2025-04-13 01:42:50,
394,314,1,2000,"10.00","10.00","10.00","10.00","8.90",2025-04-14 13:22:05,2025-04-14 13:22:05,
397,316,1,2,"3.30",,,,,2025-04-14 14:14:38,2025-04-14 14:14:38,
398,317,1,2,"3.10","5.50","4.80","4.50","3.80",2025-04-14 14:27:48,2025-04-14 14:27:48,
399,318,1,2228,"8.20","4.50","6.00","7.50","7.50",2025-04-15 02:22:44,2025-04-15 02:22:44,
400,319,1,840,"6.40","5.50","6.20","5.90","6.00",2025-04-15 03:54:03,2025-04-15 03:54:03,
413,330,1,2836,"2.70",,,,,2025-04-15 07:39:19,2025-04-15 07:39:19,
414,331,1,2836,"4.20",,,,,2025-04-15 07:39:22,2025-04-15 07:39:22,
416,333,1,1886,"3.80","7.50","5.50","5.00","7.60",2025-04-15 22:37:28,2025-04-15 22:37:28,
417,334,1,1580,"7.70","5.00","6.50","7.50","7.50",2025-04-16 00:29:53,2025-04-16 00:29:53,
420,337,1,2954,"3.50",,,,,2025-04-16 13:59:44,2025-04-16 13:59:44,
422,339,1,2323,"3.90",,,,,2025-04-16 14:01:02,2025-04-16 14:01:02,
424,341,1,2323,"1.80",,,,,2025-04-16 14:18:09,2025-04-16 14:18:09,
426,343,1,2836,"3.20",,,,,2025-04-16 14:24:47,2025-04-16 14:24:47,
429,346,1,2954,"3.90",,,,,2025-04-16 14:30:17,2025-04-16 14:30:17,
431,348,1,946,"5.70",,,,,2025-04-16 14:37:49,2025-04-16 14:37:49,
432,349,1,2928,"3.20",,,,,2025-04-16 14:39:41,2025-04-16 14:39:41,
434,351,1,2670,"6.80","5.70","7.00","6.50","6.00",2025-04-17 03:43:43,2025-04-17 03:43:43,
435,352,1,2836,"3.20",,,,,2025-04-17 05:19:38,2025-04-17 05:19:38,
436,352,2,96,"2.90",,,,,2025-04-17 05:19:38,2025-04-17 05:19:38,
437,353,1,2836,"4.30",,,,,2025-04-17 05:20:00,2025-04-17 05:20:00,
438,354,1,2954,"1.50",,,,,2025-04-17 05:24:14,2025-04-17 05:24:14,
439,355,1,2954,"4.80",,,,,2025-04-17 05:25:18,2025-04-17 05:25:18,
440,356,1,435,"2.90",,,,,2025-04-17 05:39:07,2025-04-17 05:39:07,
441,357,1,435,"3.50",,,,,2025-04-17 05:39:15,2025-04-17 05:39:15,
442,358,1,2836,"3.50",,,,,2025-04-17 05:45:41,2025-04-17 05:45:41,
443,359,1,2836,"2.50",,,,,2025-04-17 05:45:45,2025-04-17 05:45:45,
457,371,1,2634,"6.60","5.50","4.50","7.00","6.00",2025-04-17 20:32:35,2025-04-17 20:32:35,
458,372,1,2896,"6.10","8.30","6.50","6.00","6.80",2025-04-17 21:18:22,2025-04-17 21:18:22,
459,373,1,2235,"7.60","6.50","7.50","7.00","7.00",2025-04-17 22:02:44,2025-04-17 22:02:44,
460,374,1,2290,"7.20","5.00","6.50","7.00","7.50",2025-04-17 23:46:00,2025-04-17 23:46:00,
461,375,1,1869,"7.80","6.00","7.00","7.50","6.50",2025-04-18 00:59:28,2025-04-18 00:59:28,
465,379,1,2836,"4.40",,,,,2025-04-18 08:10:07,2025-04-18 08:10:07,
466,379,2,611,"7.50",,,,,2025-04-18 08:10:07,2025-04-18 08:10:07,
467,379,3,2634,"5.90",,,,,2025-04-18 08:10:07,2025-04-18 08:10:07,
495,405,1,2954,"4.10",,,,,2025-04-18 15:58:30,2025-04-18 15:58:30,
497,407,1,2958,"5.00",,,,,2025-04-18 16:03:27,2025-04-24 07:09:07,
499,409,1,840,"7.20","6.00","5.00","6.50","5.50",2025-04-19 01:05:55,2025-04-19 01:05:55,
